age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_GP,school_MS,sex_F,sex_M,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,schoolsup_no,schoolsup_yes,famsup_no,famsup_yes,paid_no,paid_yes,activities_no,activities_yes,nursery_no,nursery_yes,higher_no,higher_yes,internet_no,internet_yes,romantic_no,romantic_yes,attendance_ratio,grade_avg,pass,risk_tier,schoolsup,attendance_q,famsup,cluster
0.2847679781641253,-1.3645788773975975,-1.2355779995788883,-0.7614148016122095,0.05444155860751487,-0.344247004785536,1.250568569508592,-0.15293365986249344,-0.1482908110857774,-0.5468641929733681,-0.9914738110402965,-0.3874325478610366,-0.3359892991851717,-1.0489667717018338,-0.36861772903710327,-0.5491463540403667,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0.875,7.333333333333333,1,medium,0,1,1,3
-1.4238398908206324,-1.3645788773975975,-1.2355779995788883,-0.7614148016122095,0.05444155860751487,-0.344247004785536,-0.02501137139017175,-0.15293365986249344,-1.033302992140258,0.9002622799420069,0.6664004303713466,-0.3874325478610366,0.7097249690138925,0.10867983601894395,0.40156679978902327,-0.16260795427042207,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0.9375,10.333333333333334,1,medium,1,1,0,3
-1.4238398908206324,1.2782131256635727,-0.3235263446265772,-0.7614148016122095,1.2761101337601457,-0.344247004785536,-1.3005913122889357,-1.1278857414858898,-1.033302992140258,-0.5468641929733681,-0.9914738110402965,1.0103144576054688,-0.8588464332847038,0.8804442411661291,0.7866590642020865,0.6104688452694672,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0.8125,12.333333333333334,1,medium,0,0,1,1
-0.5695359563282536,0.3972824579765159,0.588525310325734,-0.7614148016122095,0.05444155860751487,-0.344247004785536,-0.02501137139017175,-0.15293365986249344,-1.033302992140258,-0.5468641929733681,-0.162536690334475,1.0103144576054688,-0.8588464332847038,-0.27720236655464864,0.40156679978902327,0.22393044549952254,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1.0,14.0,1,medium,0,2,1,3
-0.5695359563282536,1.2782131256635727,0.588525310325734,-0.7614148016122095,0.05444155860751487,-0.344247004785536,1.250568569508592,0.8220184217609029,-1.033302992140258,-0.5468641929733681,-0.162536690334475,1.0103144576054688,0.7097249690138925,0.10867983601894395,0.01647453537595999,0.22393044549952254,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1.0,12.333333333333334,1,medium,0,2,1,3
-0.5695359563282536,-0.4836482097105408,-0.3235263446265772,-0.7614148016122095,0.05444155860751487,-0.344247004785536,-0.02501137139017175,0.8220184217609029,0.7367213699687031,-0.5468641929733681,-0.9914738110402965,-0.3874325478610366,-0.8588464332847038,0.49456203859253656,0.01647453537595999,0.22393044549952254,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0.8125,12.333333333333334,1,medium,0,0,0,0
0.2847679781641253,1.2782131256635727,1.5005769652780452,0.7862435451430426,0.05444155860751487,-0.344247004785536,-0.02501137139017175,-2.102837823109286,0.7367213699687031,-0.5468641929733681,-0.9914738110402965,-1.7851795533275419,-0.3359892991851717,-0.6630845691282412,0.40156679978902327,0.22393044549952254,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1.0,12.666666666666666,1,medium,1,2,1,3
-1.4238398908206324,0.3972824579765159,-0.3235263446265772,-0.7614148016122095,0.05444155860751487,-0.344247004785536,-0.02501137139017175,-1.1278857414858898,-1.033302992140258,-0.5468641929733681,-0.9914738110402965,-1.7851795533275419,-0.8588464332847038,1.2663264437397217,1.556843593028213,1.7700840445793011,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0.9375,12.0,1,medium,0,1,1,3
-1.4238398908206324,0.3972824579765159,1.5005769652780452,-0.7614148016122095,0.05444155860751487,-0.344247004785536,1.250568569508592,1.7969705033842993,-1.9183151731947385,-0.5468641929733681,-0.9914738110402965,1.0103144576054688,-0.8588464332847038,0.10867983601894395,0.01647453537595999,0.22393044549952254,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1.0,16.0,1,low,0,2,1,3
-1.4238398908206324,1.2782131256635727,1.5005769652780452,-0.7614148016122095,0.05444155860751487,-0.344247004785536,-1.3005913122889357,-0.15293365986249344,-0.1482908110857774,-0.5468641929733681,-0.162536690334475,-1.0863060505942892,-0.3359892991851717,0.8804442411661291,0.7866590642020865,0.6104688452694672,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1.0,12.333333333333334,1,medium,0,2,1,3
